,LOCATION_N,Total_POP,area_intersec,ASSET_SIZE,Normalized_byArea,Normalized_nonhis,Normalized_white,Normalized_hislat,Park_Name,Total_Pop_Served,Non_Hispan,White,Hispan_Latin
221,Salt Springs Neighborhood Park,3802,1164186.0390853127,9.45904729,4,1,0,3,Salt Springs Neighborhood Park,43,11,8,32
222,Sanchez School Park,1329,856352.5033561115,1.3,116,45,44,70,Sanchez School Park,150,59,57,91
223,Schieffer Tract,6214,1304617.2714032612,4.35596015,51,27,11,24,Schieffer Tract,224,118,48,106
224,Scofield Farms Neighborhood Park,9260,3092136.0418007933,20.6445,22,15,7,7,Scofield Farms Neighborhood Park,465,320,155,144
225,Seiders Springs at Shoal Creek Greenbelt,5135,1328102.502099698,4.22,40,35,32,4,Seiders Springs at Shoal Creek Greenbelt,171,151,138,20
226,Sendera Mesa Neighborhood Park,6953,1539184.8544102134,4.61649392,40,32,23,7,Sendera Mesa Neighborhood Park,185,149,107,35
227,Shinoak Valley Greenbelt,3303,2324193.976906669,10.46021446,35,34,32,1,Shinoak Valley Greenbelt,369,358,340,11
228,Shipe Neighborhood Park,4316,924559.6560531636,2.45876512,78,71,65,7,Shipe Neighborhood Park,193,176,160,17
229,Shoal Beach at Town Lake Metro Park,11841,3623821.1224572635,13.48083855,44,39,35,4,Shoal Beach at Town Lake Metro Park,595,537,472,58
230,Shoal Creek Greenbelt,30364,20832224.736911908,80.67868635,58,49,40,8,Shoal Creek Greenbelt,4725,4028,3239,696
231,Silk Oak Neighborhood Park,2561,2556106.388887407,17.68232301,17,13,11,4,Silk Oak Neighborhood Park,315,241,206,73
232,Sir Swante Palm Neighborhood Park,7631,1192855.6130450626,3.24240255,62,51,44,11,Sir Swante Palm Neighborhood Park,203,168,143,35
233,Slaughter Creek Greenbelt,21331,7332737.9368923465,73.780646,13,8,6,5,Slaughter Creek Greenbelt,1028,626,483,402
234,South Austin Island,4010,614954.4547588701,0.06846614,2136,1627,1406,508,South Austin Island,146,111,96,34
235,South Austin Neighborhood Park,4184,1329262.039097134,12.27,24,16,12,8,South Austin Neighborhood Park,305,197,150,108
236,South Austin Senior Activity Center,5041,1281206.68946712,4.63,74,47,39,27,South Austin Senior Activity Center,345,219,181,125
237,South Austin Tennis Center,2847,1507677.7157589025,12.05,22,14,11,8,South Austin Tennis Center,273,170,139,103
238,South Boggy Creek Greenbelt,24130,6889947.826339959,29.853245,34,17,12,17,South Boggy Creek Greenbelt,1043,508,360,534
239,South Boggy Creek Greenbelt,24130,6889947.826339959,8.54716954,122,59,42,62,South Boggy Creek Greenbelt,1043,508,360,534
240,Southern Walnut Creek Greenbelt,13312,17333064.95155502,601.16025764,1,0,0,1,Southern Walnut Creek Greenbelt,1152,391,79,761
241,Sparky Pocket Park,1989,733871.4151359706,0.4550046,467,427,342,40,Sparky Pocket Park,212,194,155,18
242,Springdale Neighborhood Park,4664,1906666.7517642525,16.36640913,12,8,3,4,Springdale Neighborhood Park,199,131,50,67
243,Springwoods Neighborhood Park,3616,1293250.8660876732,12.45145586,31,22,18,8,Springwoods Neighborhood Park,389,284,235,105
244,St. Edwards Greenbelt,3602,17304.28716964045,79.8,0,0,0,0,St. Edwards Greenbelt,1,1,0,0
245,St. Elmo School Park,4061,1556974.5455549203,5.51527426,47,24,21,22,St. Elmo School Park,259,137,119,122
246,St. John Pocket Park,2930,813349.86384185,0.97,191,41,16,149,St. John Pocket Park,185,39,16,145
247,Steck Valley Greenbelt,4043,4138232.7818014985,38.35643094,12,11,9,1,Steck Valley Greenbelt,493,424,365,69
248,Stephenson Nature Preserve & Outdoor Education Center,6405,4694740.459058527,147.282,3,2,2,1,Stephenson Nature Preserve & Outdoor Education Center,534,371,359,162
249,Stillhouse Hollow Nature Preserve,2858,2372747.0960382996,19.8278,16,14,13,1,Stillhouse Hollow Nature Preserve,330,293,272,37
250,Stratford Overlook Greenbelt,2736,519309.0725892069,0.07,3663,3566,3058,96,Stratford Overlook Greenbelt,256,249,214,6
251,Swede Hill Pocket Park,878,823300.0590355628,0.5694,167,152,128,15,Swede Hill Pocket Park,95,86,73,8
252,Symphony Square,5232,636486.9084408202,0.484,218,192,167,26,Symphony Square,105,92,81,12
253,T.A. Brown Neighborhood Park,2319,1185035.5105624534,2.29,148,74,65,73,T.A. Brown Neighborhood Park,339,170,150,169
254,Tahoe Trail Pocket Park,3911,707529.763118092,0.308,692,404,351,288,Tahoe Trail Pocket Park,213,124,108,88
255,Tanglewood Neighborhood Park,4297,2072715.5238178265,14.1402,30,28,14,1,Tanglewood Neighborhood Park,429,405,203,23
256,Tannehill Branch Greenbelt,8291,1411172.0900003128,4.504,43,32,23,11,Tannehill Branch Greenbelt,197,144,105,53
257,Tarrytown Neighborhood Park,2336,1164179.4470787062,2.2502,87,80,75,6,Tarrytown Neighborhood Park,196,180,169,15
258,The Circle Greenbelt,1878,1027412.5506733349,1.208,192,163,145,28,The Circle Greenbelt,232,197,175,34
259,Tom Lasseter-South Lamar Neighborhood Park,3921,1036346.5630415952,2.084,120,75,66,44,Tom Lasseter-South Lamar Neighborhood Park,250,158,138,92
260,Trailhead Neighborhood Park,12073,2143990.0477043935,13.63828257,19,16,11,2,Trailhead Neighborhood Park,261,229,151,31
261,Triangle Commons Neighborhood Park,3345,1974497.3738920917,6.05,41,34,27,6,Triangle Commons Neighborhood Park,251,209,169,42
262,Umlauf Sculpture Garden,4959,1013952.3210981557,7.8449,23,20,17,2,Umlauf Sculpture Garden,184,163,140,20
263,Upper Bull Creek Greenbelt,16537,12946225.078372326,181.7298694,8,8,4,0,Upper Bull Creek Greenbelt,1604,1486,844,118
264,Veterans Pocket Park,5002,626904.5709319565,0.67361979,107,104,27,2,Veterans Pocket Park,72,70,18,1
265,Vic Mathias Shores at Town Lake Metro Park,5453,653574.3504334113,5.76681669,13,11,11,1,Vic Mathias Shores at Town Lake Metro Park,75,69,64,5
266,Waller Beach at Town Lake Metro Park,12358,5004929.086182773,28.80830482,47,37,30,10,Waller Beach at Town Lake Metro Park,1370,1080,887,290
267,Waller Creek Greenbelt,9580,3821471.9400066985,4.25945033,176,150,129,26,Waller Creek Greenbelt,752,641,550,111
268,Walnut Creek Metro Park,5715,6582578.824113155,290.52051343,1,1,1,0,Walnut Creek Metro Park,548,418,293,129
269,Walnut Creek Sports Park,5710,1421792.277719708,227.96811979,0,0,0,0,Walnut Creek Sports Park,199,56,9,143
270,Walsh Boat Landing,2724,1467131.621086541,3.92369047,38,34,32,3,Walsh Boat Landing,149,134,129,15
271,Walter E. Long Metro Park,17219,26416643.47477757,1885.44189589,0,0,0,0,Walter E. Long Metro Park,1094,462,185,632
272,Waterloo Neighborhood Park,5232,1684313.6017492763,10.0212,15,12,10,2,Waterloo Neighborhood Park,151,125,107,26
273,Wells Creek Greenbelt,9835,1984231.7845841036,9.18,52,40,21,11,Wells Creek Greenbelt,477,370,200,107
274,West Austin Neighborhood Park,3827,1128747.0074622193,3.31956766,67,59,53,7,West Austin Neighborhood Park,222,198,178,24
275,West Bouldin Creek Greenbelt,3080,2576674.2136149583,16.86731362,31,24,23,7,West Bouldin Creek Greenbelt,539,413,395,125
276,Westcreek Pocket Park,2990,943265.905306547,1.293,143,119,102,24,Westcreek Pocket Park,186,153,131,32
277,Westenfield Neighborhood Park,4311,1397731.7037955315,4.94370761,57,50,50,6,Westenfield Neighborhood Park,283,250,247,32
278,William H. Russell Karst Preserve,9514,5539151.62929253,190.921,3,2,2,0,William H. Russell Karst Preserve,706,558,410,147
279,Williams School Park,4552,1680396.860019889,9.892,23,9,8,13,Williams School Park,231,95,83,136
280,Williamson Creek Central Greenbelt,25580,15266338.926079048,91.22899701,33,21,18,12,Williamson Creek Central Greenbelt,3087,1921,1682,1165
281,Williamson Creek East Greenbelt,26207,10150420.168193039,87.28068991,40,8,4,31,Williamson Creek East Greenbelt,3516,775,403,2741
282,Williamson Creek West Greenbelt,8394,10429285.335868554,76.25644663,14,12,9,1,Williamson Creek West Greenbelt,1085,935,748,149
283,Wooldridge School Park,6179,1539404.5402896635,9.06898355,66,22,14,44,Wooldridge School Park,607,207,135,400
284,Wooldridge Square,4109,941319.220576294,1.7488,97,86,75,11,Wooldridge Square,170,150,131,19
285,Wooten Neighborhood Park,4064,1358306.849600971,6.28,56,22,17,34,Wooten Neighborhood Park,357,139,111,218
286,Wunneburger Neighborhood Park,4954,7252.596647890556,23.51,0,0,0,0,Wunneburger Neighborhood Park,1,0,0,0
287,Yates Pocket Park,7507,716141.682183356,0.9338,194,83,25,110,Yates Pocket Park,181,77,24,103
288,Yett Creek Neighborhood Park,1839,2693960.022444715,40.545,4,3,3,0,Yett Creek Neighborhood Park,164,147,138,16
289,Zilker Metro Park,11077,4797934.421239666,307.84906621,2,1,1,0,Zilker Metro Park,664,608,543,56
290,Zilker Nature Preserve,8523,1594501.7310799428,77.39090711,2,2,1,0,Zilker Nature Preserve,168,158,124,10
